round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,7.477892160415649
1,0.6508,0.8431,84.31,0.46413350368247314,0.6849466562271118,4.330492987352259,20.615528041850997,0.022060478473768373,0.039999999999995595,1.5000000000000013,8.410224199295044
2,0.6536,0.8223,82.23,0.4690081196672776,0.658843317452599,4.142895137562471,20.615528128082143,0.019769897357911032,-0.23999999999999577,3.5799999999999943,9.296684741973877
3,0.6529,0.7972,79.72,0.5671109302955515,0.6798162372673259,4.191602763007669,20.61552808614925,0.021625316101104252,-0.17000000000000348,6.089999999999995,10.181576251983643
4,0.6514,0.7642,76.42,0.8345772413646474,0.7035550369935877,4.090308077195111,20.615527882439157,0.02211853688393286,-0.019999999999997797,9.389999999999999,11.065975666046143
5,0.6478,0.714,71.39999999999999,1.1288326487821692,0.7008705244344824,3.7772610187530518,20.61552849726528,0.02355836724414294,0.33999999999999586,14.41,11.949962139129639
6,0.6472,0.6766,67.66,1.3003248572349548,0.7422591833507314,3.895489454269409,20.615528090653793,0.022394573571711568,0.40000000000000036,18.15,12.833750247955322
7,0.6469,0.6312,63.12,1.5425618911052452,0.7656969848801108,3.8173169809229233,20.615528009851513,0.02145784883538192,0.42999999999999705,22.689999999999998,13.71583104133606
8,0.6425,0.5597,55.97,2.045484697117525,0.72939051249448,3.0602489078746125,20.615527473369223,0.025982890268392574,0.8700000000000041,29.84,14.603826761245728
9,0.6419,0.4931,49.309999999999995,2.8212336231680477,0.8267329720889821,2.96589713938096,20.615528342474583,0.024514833466802912,0.9299999999999975,36.5,15.488712310791016
10,0.64,0.442,44.2,3.0444933386409985,0.8284872139201445,2.75491720087388,20.61552815427474,0.02389355927299321,1.1199999999999988,41.61,16.377169609069824
