round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.8879008293151855
1,0.6511,0.8416,84.16,-0.42534688202773824,4.123105209965627,0.006239236836283023,1.7261013984680176
2,0.6484,0.8199,81.99,-0.4579684120767257,4.1231051904759,0.006533882132399939,2.5222225189208984
3,0.6446,0.7952,79.52,-0.5645193501430399,4.123105331719791,0.006699079016504064,3.314716339111328
4,0.6414,0.768,76.8,-0.7436519948875203,4.123105349430031,0.007320024429488767,4.101732492446899
5,0.6362,0.7382,73.82,-0.949198884122512,4.123105380819427,0.007359935841819716,4.893686056137085
6,0.6282,0.7047,70.47,-1.0699741735177881,4.123105545753668,0.007485467630329909,5.677901744842529
7,0.6201,0.6719,67.19000000000001,-1.1664590853102066,4.123105482902427,0.007645102666761236,6.464285135269165
8,0.6078,0.6311,63.11,-1.5726097471573774,4.123105679264907,0.00791802147265847,7.265867233276367
9,0.5976,0.5878,58.78,-1.8751591093399946,4.123105555225205,0.007929047160026188,8.053990125656128
10,0.5892,0.5477,54.769999999999996,-2.2278882685829613,4.1231056397791255,0.008006514175811262,8.841855764389038
