round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,1.0,,0.7113523483276367
1,0.6511,0.8432,84.32,-0.3900138060836231,0.3900138060836231,,,-0.3900138060836231,4.123105273642643,0.005673044623760542,1.0,72.05207875022032,1.5123753547668457
2,0.6491,0.8239,82.39,-0.410490876662901,0.410490876662901,,,-0.410490876662901,4.002087297913635,0.005848989625850024,1.0,76.85452097643538,2.3359031677246094
3,0.645,0.8,80.0,-0.5250936704961693,0.5250936704961693,,,-0.5250936704961693,4.123105287819442,0.006271013662915207,1.0,87.07346636856767,3.158780813217163
4,0.6415,0.7776,77.75999999999999,-0.6905882200774025,0.6905882200774025,,,-0.6905882200774025,4.123105424381974,0.006549618813212344,1.0,135.58962850932426,3.9735422134399414
5,0.638,0.7508,75.08,-0.8820369594237384,0.8820369594237384,,,-0.8820369594237384,4.123105387065805,0.006763051434678762,1.0,185.6924003399752,4.779587507247925
6,0.6317,0.7206,72.06,-0.9321134388446808,0.9321134388446808,,,-0.9321134388446808,4.123105374647275,0.006772502033524754,1.0,135.34054580840763,5.584449291229248
7,0.6238,0.6891,68.91000000000001,-1.1700471920125626,1.1700471920125626,,,-1.1700471920125626,4.123105551332751,0.00697653256816688,1.0,205.48866677407736,6.39583420753479
8,0.6164,0.6565,65.64999999999999,-1.2870026274639017,1.2870026274639017,,,-1.2870026274639017,4.123105638426661,0.007078486432130382,1.0,166.03324120801352,7.20171332359314
9,0.6068,0.6175,61.75000000000001,-1.6031142578405493,1.6031142578405493,,,-1.6031142578405493,4.123105576331521,0.007247950546865394,1.0,188.83277317953355,8.020576000213623
10,0.5978,0.5785,57.85,-1.8616453339071835,1.8616453339071835,,,-1.8616453339071835,4.123105609402559,0.0073162881430845,1.0,200.8372703019894,8.826172828674316
