round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7297606468200684
1,0.6366,0.753,75.3,-0.6183297546470866,0.6183297546470866,,,-0.6183297546470866,20.615526219292082,0.031053876937862643,5.0,140.2025089905612,1.5333106517791748
2,0.5974,0.5828,58.28,-1.4555370492093704,1.4555370492093704,,,-1.4555370492093704,20.615527451491403,0.03526893893585112,5.0,191.87455739033211,2.351591110229492
3,0.5452,0.3749,37.49,-2.6971316214870003,2.6971316214870003,,,-2.6971316214870003,20.615528530074034,0.036144825870341665,5.0,241.03828373416542,3.1539950370788574
4,0.4606,0.1424,14.24,-5.25326223934398,5.25326223934398,,,-5.25326223934398,20.615528749705785,0.038876834618435246,5.0,393.23228026724087,3.9833714962005615
5,0.3626,0.0236,2.36,-8.548237744499655,8.548237744499655,,,-8.548237744499655,20.61552840532852,0.03923659378864614,5.0,491.7962585586363,4.783247947692871
6,0.2576,0.0012,0.12,-14.840969422284294,14.840969422284294,,,-14.840969422284294,20.615528562433504,0.04001651582958128,5.0,664.5059383096466,5.597768306732178
7,0.184,0.0001,0.01,-20.1929375704597,20.1929375704597,,,-20.1929375704597,20.615527981295518,0.0404180107019428,5.0,735.0620834495141,6.406497955322266
8,0.1343,0.0,0.0,-27.660720600801355,27.660720600801355,,,-27.660720600801355,20.615528361984932,0.04075270630107994,5.0,794.8754569311752,7.2232842445373535
9,0.1111,0.0,0.0,-35.17726258670582,35.17726258670582,,,-35.17726258670582,20.615527771887955,0.04067270762061097,5.0,884.7709974913657,8.027963638305664
10,0.1015,0.0,0.0,-43.849815144258386,43.849815144258386,,,-43.849815144258386,20.615528472210514,0.040812648430725774,5.0,952.5863080789222,8.829902410507202
