round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.7060506343841553
1,0.6503,0.8344,83.44,-0.35980891918434815,4.123105305433203,0.00858519267962487,1.5049021244049072
2,0.6447,0.7999,79.99000000000001,-0.5114704177660101,4.1231052538552575,0.009370388586201034,2.297433614730835
3,0.6418,0.7644,76.44,-0.718684196472168,4.123105428264889,0.0098865620444807,3.0873260498046875
4,0.6329,0.722,72.2,-1.0800486943301033,4.123105482341491,0.010112896889777689,3.8752477169036865
5,0.6218,0.6776,67.75999999999999,-1.1262778302325922,4.1231054252974975,0.010236831350941892,4.668060779571533
6,0.6075,0.6205,62.050000000000004,-1.6283390171387617,4.123105543127173,0.010765834544578636,5.460822343826294
7,0.5949,0.5631,56.31,-2.063185285119449,4.123105649079517,0.010833730591173976,6.252642631530762
8,0.5785,0.5033,50.33,-2.5096976827172672,4.123105687021365,0.011062742376959322,7.0467095375061035
9,0.5629,0.4311,43.11,-2.7510581279502198,4.123105662303595,0.011147547797821204,7.84117579460144
10,0.5462,0.3638,36.38,-3.591315648135017,4.123105633398754,0.011281461962581375,8.636014223098755
