round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.707761287689209
1,0.6211,0.6552,65.52,0.6794395004125202,0.7342612497946795,-0.3123088777065277,20.615526822250175,0.054705499093660695,3.0100000000000016,20.289999999999996,1.5829079151153564
2,0.5444,0.2967,29.67,2.8825537352000965,1.0792816491688,-2.3429128843195297,20.615527963483665,0.06346455018735164,10.68,56.139999999999986,2.4533731937408447
3,0.4168,0.0202,2.02,8.211663498597986,1.8640375873621773,-7.279644755756154,20.615528121387854,0.06900261811114647,23.44,83.78999999999999,3.333745002746582
4,0.2631,0.0001,0.01,16.116015490363626,3.9038508779862346,-14.164090212653665,20.615528526730944,0.07028353244085833,38.81,85.8,4.208983898162842
5,0.1651,0.0,0.0,26.550108853508444,8.403198522679945,-22.348509508020737,20.615527537372202,0.07094612963452072,48.61,85.81,5.090328693389893
6,0.1177,0.0,0.0,40.4188595940085,13.617150194504681,-33.61028424431296,20.61552809572186,0.07147188495026285,53.349999999999994,85.81,5.994357109069824
7,0.1021,0.0,0.0,53.8843111150405,20.174952002132642,-43.79683483348173,20.61552847185237,0.07028862887324476,54.910000000000004,85.81,6.8747923374176025
8,0.1,0.0,0.0,74.7271578171674,28.168674244600183,-60.64282114365522,20.615528448640234,0.07298425600130355,55.120000000000005,85.81,7.752317667007446
9,0.1,0.0,0.0,94.52161183076747,36.17507575539982,-76.43407395306755,20.61552836847601,0.07264434657294931,55.120000000000005,85.81,8.625332355499268
10,0.1,0.0,0.0,117.36813264734604,48.1297409955193,-93.30326170079849,20.615527737583548,0.07271612480764919,55.120000000000005,85.81,9.498937845230103
