round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7629890441894531
1,0.6395,0.7395,73.95,0.5592807198272032,0.7346969772787655,0.1754162574515623,20.615526739696715,0.03582025767105045,1.1700000000000044,11.859999999999992,1.6651866436004639
2,0.6052,0.5337,53.37,1.4968571224633385,0.845015848384184,-0.6518412758322323,20.615528026994344,0.04366851270330984,4.600000000000004,32.440000000000005,2.5700368881225586
3,0.5598,0.2396,23.96,3.8091753791360294,1.1025019813986385,-2.706673369688146,20.61552825847452,0.048473020163829254,9.140000000000004,61.849999999999994,3.4736671447753906
4,0.4996,0.0415,4.15,7.151051381055047,1.7410510497934677,-5.410000324249268,20.615528140287207,0.049938140585859186,15.160000000000002,81.66,4.37233567237854
5,0.4248,0.0014,0.13999999999999999,12.840653643888587,2.747968877063078,-10.092684829936308,20.615528198039446,0.052162705174744174,22.64,85.67,5.274301767349243
6,0.3431,0.0,0.0,18.86807363173541,4.491259434643914,-14.376814112943762,20.615528375878938,0.05210830441670829,30.81,85.81,6.1738433837890625
7,0.2666,0.0,0.0,26.63188698712517,6.423051946303424,-20.208835265215704,20.615528474229425,0.05214964188265809,38.46,85.81,7.088091850280762
8,0.2211,0.0,0.0,34.63625739602482,9.008920473210951,-25.627337175257065,20.61552777972422,0.051933432560382194,43.010000000000005,85.81,8.001310348510742
9,0.187,0.0,0.0,44.49222430060892,11.302541480344885,-33.1896832410027,20.615527926227283,0.052701028691310096,46.42,85.81,8.933026790618896
10,0.1595,0.0,0.0,55.95399699491613,14.595813919516171,-41.35818279490751,20.615528163422724,0.05342449520999417,49.17,85.81,9.85683536529541
