round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.706148624420166
1,0.6499,0.8292,82.92,-0.3932897159281899,4.123105303082017,0.00996174144557203,1.489840030670166
2,0.6447,0.7889,78.89,-0.4994682401199551,4.123105264993803,0.01082650865149899,2.282766580581665
3,0.6382,0.7458,74.58,-0.7014426272824708,4.001319841942578,0.01094471307574704,3.0764613151550293
4,0.6262,0.6928,69.28,-1.073518255177666,4.123105516111842,0.01153656552503199,3.8734793663024902
5,0.6128,0.6358,63.580000000000005,-1.3792938484865076,4.1231055155716945,0.011767116534985125,4.6892759799957275
6,0.5974,0.5699,56.989999999999995,-1.7577848434448242,4.123105582844417,0.0119051500702946,5.496108055114746
7,0.5811,0.504,50.4,-2.4187305604710296,4.123105628073536,0.01250410799468495,6.288388013839722
8,0.5631,0.4234,42.34,-2.9036683054531323,4.123105612264388,0.012678344723016622,7.084527492523193
9,0.5436,0.3461,34.61,-3.7113888964933506,4.123105686214776,0.01298166761465622,7.873029947280884
10,0.5144,0.2638,26.38,-4.714728173087625,4.1231056343089,0.013015866113408818,8.670642375946045
