round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7379763126373291
1,0.6517,0.8542,85.42,0.35497359317891736,0.6683395662728477,2.9867242574691772,4.123105635356855,0.0038290012175851876,-0.04999999999999449,0.39000000000000146,1.644845724105835
2,0.6514,0.8482,84.82,0.42491306627497955,0.6736715243143194,2.9434445535435394,4.123105603261101,0.0037046565778801645,-0.019999999999997797,0.990000000000002,2.55500864982605
3,0.6513,0.8433,84.33,0.37900670517496216,0.6826114759725683,3.0340506749994614,4.123105651312261,0.0034116954216720243,-0.009999999999998899,1.4799999999999924,3.4549455642700195
4,0.6525,0.8414,84.14,0.41148672209066506,0.7214930793818306,3.195978697608499,4.123105672301194,0.0032044479347627937,-0.12999999999999678,1.6699999999999937,4.369510650634766
5,0.6529,0.8371,83.71,0.5155868433854159,0.6548296528704026,2.7585614288554474,4.1231055680711055,0.003623165277827963,-0.17000000000000348,2.100000000000002,5.345065116882324
6,0.6526,0.834,83.39999999999999,0.4504203743794385,0.6772533479858848,2.9358464128830852,4.123105732342244,0.0033265939122162423,-0.13999999999999568,2.410000000000001,6.278041839599609
7,0.6532,0.8277,82.77,0.47746608406305313,0.6532515532830182,2.7887916845433853,4.123105633272563,0.003498605532357764,-0.20000000000000018,3.0399999999999983,7.185157537460327
8,0.6525,0.8212,82.12,0.4856415430412573,0.6879282067803776,2.9539994772742775,4.123105649021314,0.0033454765074774026,-0.12999999999999678,3.6899999999999933,8.089494943618774
9,0.6539,0.8164,81.64,0.5254264649222878,0.6921740261947408,2.9354436537798714,4.123105587796798,0.003353588764824926,-0.27000000000000357,4.169999999999996,8.980648040771484
10,0.6532,0.8116,81.16,0.5383327349143869,0.7066312397227568,2.994823427761302,4.123105620120289,0.003759098246034169,-0.20000000000000018,4.649999999999999,9.899015426635742
