round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.7068419456481934
1,0.6499,0.8371,83.71,-0.37547171115875244,4.12310517245714,0.00762080221293902,1.499424695968628
2,0.6466,0.8094,80.94,-0.5843819747952854,4.123105243879335,0.00797029304157185,2.3027050495147705
3,0.642,0.7781,77.81,-0.7158740075195537,4.123105359222406,0.008412021519856884,3.088961362838745
4,0.6368,0.7422,74.22,-0.7856633557992823,4.12310538448582,0.008879904150764362,3.883528709411621
5,0.6268,0.7024,70.24000000000001,-1.100444867330439,4.123105619556347,0.009025584374631595,4.669505834579468
6,0.6178,0.6593,65.93,-1.3116975531858557,4.123105725720512,0.009166769672086635,5.458637714385986
7,0.6045,0.6109,61.09,-1.6529014531303854,4.123105551299166,0.009310486725965544,6.246889591217041
8,0.5931,0.5623,56.230000000000004,-1.8419262521407183,4.123105535066433,0.009248493009205647,7.0334906578063965
9,0.5795,0.5089,50.89,-2.4650518473456886,4.123105639340238,0.009555703582581175,7.822898626327515
10,0.5649,0.4517,45.17,-2.767977377947639,4.123105682652534,0.009578306565724951,8.615452527999878
