round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7362310886383057
1,0.6515,0.8482,84.82,0.3588150389054242,0.6978542997556574,1.036893574630513,4.12310549880817,0.004632544002570187,-0.029999999999996696,0.990000000000002,1.6506154537200928
2,0.6522,0.837,83.7,0.4086578970446306,0.6890637103249045,0.9694695227286395,4.123105568916262,0.004836705249780875,-0.10000000000000009,2.1100000000000008,2.585418224334717
3,0.652,0.8241,82.41000000000001,0.4568603161503287,0.6826522315249723,0.9084441416403827,4.123105500677464,0.005001481170715875,-0.08000000000000229,3.399999999999992,3.5018413066864014
4,0.6506,0.8058,80.58,0.6569019371972364,0.7073153643047109,0.757728801054113,4.123105502471628,0.0057307666835133345,0.060000000000004494,5.230000000000001,4.422245979309082
5,0.6488,0.7918,79.17999999999999,0.582530174185248,0.67102090400808,0.7595116320778342,4.12310543114561,0.005269195120970057,0.23999999999999577,6.630000000000003,5.361728191375732
6,0.6459,0.7739,77.39,0.6553562160800485,0.6964705866925857,0.7375849555520451,4.1231055459577926,0.005634822134320584,0.5299999999999971,8.419999999999995,6.272748708724976
7,0.6441,0.754,75.4,0.8032651350778692,0.6767635608420652,0.5502619848531836,4.123105542013573,0.005952504900931514,0.7099999999999995,10.409999999999997,7.201684474945068
8,0.642,0.7283,72.83,0.8789688061429736,0.6846943357411552,0.4904198681606966,4.1231055651941055,0.006293191823704302,0.9199999999999986,12.980000000000002,8.145930290222168
9,0.6404,0.7045,70.45,1.0611284620621626,0.7053148851675146,0.34950130827286663,4.1231055688543226,0.0065877655353242335,1.0800000000000032,15.359999999999996,9.084320783615112
10,0.6392,0.6817,68.17,1.2914178827229668,0.7633485127897823,0.2352791393504423,4.1231056225944505,0.006573379694962791,1.200000000000001,17.64,9.991907119750977
