round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.70725417137146
1,0.6495,0.8271,82.71,-0.4142948503003401,4.123105291827252,0.010499398476035201,1.5093553066253662
2,0.6436,0.785,78.5,-0.5590019068297218,4.123105278138372,0.011586119115878674,2.316375970840454
3,0.6353,0.7372,73.72,-0.7620623339624966,4.123105353918329,0.011860140353957454,3.1439361572265625
4,0.623,0.6817,68.17,-1.2954058927648209,4.123105566486092,0.012562572056223858,3.948563814163208
5,0.6047,0.6144,61.44,-1.4911008196718551,4.123105612267346,0.012713689198268407,4.7640345096588135
6,0.5899,0.5445,54.449999999999996,-1.8329762010013355,4.123105696417053,0.013083011858777586,5.552492141723633
7,0.5679,0.4669,46.69,-2.6729293079937206,4.123105617088206,0.013263749930806878,6.338819742202759
8,0.5509,0.3826,38.26,-3.1443285942077637,4.123105586837477,0.013220224586117865,7.129764795303345
9,0.5247,0.2927,29.270000000000003,-3.8806713153334225,4.123105597860107,0.013538211897522471,7.92273736000061
10,0.4967,0.2143,21.43,-5.391226123361027,4.12310562188817,0.013988608973297926,8.706532716751099
