round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,7.4735939502716064
1,0.6493,0.8395,83.95,0.4755752744043575,0.6850034734782051,3.6344456111683563,20.615527953081006,0.023547989439346967,0.19000000000000128,1.859999999999995,8.411994934082031
2,0.652,0.8096,80.96,0.5112837097224068,0.6610037579255945,3.4547388132880714,20.61552854971774,0.021746360074174124,-0.08000000000000229,4.849999999999999,9.295074939727783
3,0.6515,0.7739,77.39,0.667388438301928,0.684987830765107,3.4425385138567757,20.615527964525985,0.02385985221393287,-0.029999999999996696,8.419999999999995,10.18378472328186
4,0.6486,0.728,72.8,1.0279962560709786,0.7140998279347139,3.2566026659572826,20.615528306806144,0.024592036264515352,0.26000000000000467,13.01,11.07820987701416
5,0.6437,0.6606,66.06,1.494790999328389,0.7166411263101241,2.8050557374954224,20.61552800021117,0.027087636418759994,0.7499999999999951,19.75,11.961460590362549
6,0.6418,0.5935,59.35,1.7997822831658756,0.7808629519799176,2.8853954357259415,20.61552835528887,0.02584013438719009,0.9399999999999964,26.459999999999994,12.846527338027954
7,0.6392,0.5149,51.49,2.267430258147857,0.8165410020772148,2.631815798142377,20.61552773170299,0.02572390346098825,1.200000000000001,34.31999999999999,13.73927640914917
8,0.6305,0.4065,40.65,3.1206860963036034,0.787858338917003,1.6064639231737923,20.615528237945924,0.03121428889359344,2.070000000000005,45.16,14.629006624221802
9,0.6245,0.3023,30.23,4.409455018884995,0.9317975745481604,1.1813304845024557,20.61552856279651,0.02919822892132086,2.6699999999999946,55.58,15.514037370681763
10,0.6184,0.1981,19.81,5.13886339524213,0.9921771568410537,0.8141995878780589,20.615527561009618,0.02969287001134221,3.280000000000005,65.99999999999999,16.39931559562683
