round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7117512226104736
1,0.6451,0.7802,78.02,0.2207816085394691,0.4862915575504303,0.7070731660898995,,0.2207816085394691,20.615526160293044,0.025108278870533702,5.0,133.32091557121558,1.5879466533660889
2,0.6298,0.6621,66.21000000000001,-0.23153498593498678,1.0136980133898117,0.782163027454825,,-0.23153498593498678,20.61552716111917,0.029077339572186424,5.0,152.78291245560513,2.46323299407959
3,0.5997,0.4952,49.519999999999996,-1.235259028042064,2.1176410843344295,0.8823820562923655,,-1.235259028042064,20.615528472674274,0.03194477471096394,5.0,206.132770101587,3.341982841491699
4,0.57,0.2947,29.470000000000002,-2.527728136848001,3.7060626254362217,1.178334488588221,,-2.527728136848001,20.61552829874261,0.034449711534973775,5.0,286.5330730534963,4.221621751785278
5,0.5389,0.1085,10.85,-4.357914574006024,5.964558685527129,1.6066440974964815,,-4.357914574006024,20.615528174855214,0.03519663429956988,5.0,361.46485057289544,5.105796813964844
6,0.4938,0.019,1.9,-6.537526551414938,8.520738040699678,1.9832114612354952,,-6.537526551414938,20.615527299269264,0.03650537294200703,5.0,410.40674518792264,5.997958421707153
7,0.4456,0.0013,0.13,-9.545544399934656,12.342679276185876,2.7971348341773536,,-9.545544399934656,20.61552821336722,0.03690137193993448,5.0,437.8787762632151,6.883088827133179
8,0.3862,0.0001,0.01,-13.52828732658835,17.034531537224264,3.5062442947836483,,-13.52828732658835,20.61552800689088,0.03702193948913549,5.0,507.02754030905925,7.777443170547485
9,0.3258,0.0,0.0,-17.56158441655776,22.5484380161061,4.9868534312528725,,-17.56158441655776,20.615528157108315,0.03755161725604021,5.0,538.4223560903014,8.666996240615845
10,0.2703,0.0,0.0,-22.281771491555606,28.9577719744514,6.676000538994284,,-22.281771491555606,20.615528445248618,0.03788537777684906,5.0,584.7546766717898,9.609311580657959
