round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,sparsity_or_discard_ratio,retained_ratio_if_available,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,8.053375959396362
1,0.6469,0.831,83.1,243.54991406202316,9.900946992068338,0.021531756664233598,3.863078452126523e-06,0.9999961369215479,10.569963455200195
2,0.5902,0.7519,75.19,337.1782636642456,14.488179101363126,0.041561189827652285,3.863078452126523e-06,0.9999961369215479,13.117573976516724
3,0.4547,0.5845,58.45,701.0474047660828,23.44603651965623,0.060951903758006215,3.863078452126523e-06,0.9999961369215479,15.768001079559326
4,0.2919,0.262,26.200000000000003,1818.9749946594238,43.586261745740096,0.08152319842385937,3.980141435544482e-06,0.9999960198585645,18.36796498298645
5,0.1779,0.009,0.8999999999999999,5094.012752532959,85.69518770611262,0.10699461675188125,4.214267402269378e-06,0.9999957857325977,20.93640112876892
