round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7343590259552002
1,0.651,0.8512,85.11999999999999,0.3866270504453603,0.7309165351531085,1.0752060167929705,4.123105469565119,0.0033891249150765045,0.019999999999997797,0.6900000000000017,1.6655645370483398
2,0.6513,0.8432,84.32,0.48164012063952055,0.6584243634167839,0.8352086088236641,4.123105477295441,0.0037391851169671195,-0.009999999999998899,1.4900000000000024,2.5818495750427246
3,0.6513,0.8353,83.53,0.4326624817707959,0.6715226944755105,0.9103829124394585,4.1231054040758375,0.0034502113778159043,-0.009999999999998899,2.279999999999993,3.4868087768554688
4,0.651,0.824,82.39999999999999,0.465882387231378,0.6401992615531472,0.8145161341218388,4.123105508305989,0.003812292660701434,0.019999999999997797,3.410000000000002,4.399569749832153
5,0.6506,0.8118,81.17999999999999,0.6079326166826136,0.7066799156806048,0.8054272111724404,4.123105520706544,0.0038883821951585865,0.060000000000004494,4.630000000000001,5.343618154525757
6,0.6485,0.8002,80.02,0.5875707426491905,0.7270137772840612,0.8664568031535429,4.123105599565936,0.00397237176371186,0.27000000000000357,5.789999999999996,6.288119554519653
7,0.647,0.7881,78.81,0.7142426704659182,0.6583822404637056,0.6025218052022597,4.123105563477947,0.004083213482308034,0.41999999999999815,6.999999999999995,7.215468883514404
8,0.6455,0.7751,77.51,0.6654069528860205,0.691875745268429,0.7183445376508376,4.123105647419702,0.004212169195789274,0.5700000000000038,8.299999999999997,8.138675212860107
9,0.6444,0.7599,75.99000000000001,0.8877338486559251,0.7368225560468786,0.5859112634378321,4.1231055916199315,0.004398657928410983,0.6800000000000028,9.819999999999995,9.083396434783936
10,0.6414,0.7423,74.22999999999999,0.8652442746302661,0.7520803703981287,0.6389164644129136,4.12310554249385,0.004505225983925629,0.9800000000000031,11.580000000000002,10.028403043746948
