round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,7.6231513023376465
1,0.6501,0.8404,84.04,0.4712359510800418,0.685383628396427,3.6410658640020035,20.6155283918803,0.021863684811690386,0.10999999999999899,1.7699999999999938,8.585273265838623
2,0.6529,0.8137,81.37,0.49291810743948994,0.6601655518307405,3.468075219322653,20.615528223296703,0.02015379817361444,-0.17000000000000348,4.4399999999999995,9.488215684890747
3,0.6512,0.7808,78.08,0.6275660360560698,0.6833562360090368,3.472571344936595,20.61552804124794,0.022037569274337088,0.0,7.729999999999992,10.39530873298645
4,0.649,0.7398,73.98,0.9534396949936362,0.7109145311748281,3.312047439462998,20.615527719788926,0.022712086635165725,0.21999999999999797,11.829999999999997,11.312557220458984
5,0.6456,0.6795,67.95,1.3552280769628637,0.7113530513118295,2.912890216883491,20.615528129386153,0.02492247617090984,0.5600000000000049,17.86,12.233874082565308
6,0.6434,0.6234,62.339999999999996,1.6037155424847322,0.7677823235006893,3.0029783669640038,20.61552784679863,0.023577703045700154,0.7800000000000029,23.470000000000002,13.14689016342163
7,0.6424,0.5579,55.78999999999999,1.991826719220947,0.7996665660072776,2.806172658415402,20.61552828730005,0.02322774054532155,0.880000000000003,30.020000000000003,14.041667699813843
8,0.6343,0.4577,45.769999999999996,2.7205575283835914,0.7673772538409513,1.8837060367359835,20.61552805721691,0.028350305784245473,1.6900000000000026,40.04,14.929584503173828
9,0.6288,0.3683,36.83,3.8174932844498577,0.896480546278112,1.5613899791941923,20.615528318560532,0.026606485729700886,2.2399999999999975,48.98,15.818146228790283
10,0.6251,0.2809,28.09,4.365308074390187,0.9395283811232623,1.2718622263740091,20.615528335895796,0.026554227808330316,2.610000000000001,57.71999999999999,16.7232506275177
