round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.7024269104003906
1,0.6504,0.8373,83.73,-0.39248426433871775,4.123105268373218,0.007787068153297589,1.5183265209197998
2,0.6455,0.8051,80.51,-0.5146531427607817,4.12310535071323,0.008821104215485886,2.320150852203369
3,0.6421,0.7719,77.19,-0.6578579720328835,4.123105350235388,0.009221477179572257,3.1191351413726807
4,0.6358,0.7336,73.36,-1.0688721958328695,4.123105374170132,0.009383479982557874,3.913259983062744
5,0.6252,0.6905,69.05,-1.163322603001314,4.123105511601544,0.009690058091442253,4.702295541763306
6,0.614,0.6446,64.46,-1.5047194887610043,4.123105637471239,0.009945418539188641,5.49323034286499
7,0.6002,0.5901,59.01,-1.6903281211853027,4.1231056539134645,0.009883902857212672,6.282803058624268
8,0.5866,0.5378,53.779999999999994,-2.3092035125283634,4.123105596502308,0.010332646659410943,7.0798022747039795
9,0.5692,0.4782,47.82,-2.619007005411036,4.123105507393583,0.010487948609925449,7.867142915725708
10,0.5566,0.4094,40.94,-3.2505229501163257,4.123105665639277,0.01055031857779192,8.65753960609436
