round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.7047662734985352
1,0.6494,0.8244,82.44,-0.41311126596787395,4.123105256387221,0.011479837185126626,1.493241310119629
2,0.6416,0.7809,78.09,-0.5469594317324021,4.12310524905753,0.01218323154893513,2.277425765991211
3,0.6347,0.7278,72.78,-0.8125872125520426,4.123105324503915,0.012759913908235084,3.0729613304138184
4,0.6222,0.6684,66.84,-1.3406190206022823,4.123105500238907,0.013360465563836976,3.8615224361419678
5,0.6024,0.5966,59.660000000000004,-1.7325711741166956,4.123105649840512,0.013680316274149448,4.6478188037872314
6,0.5845,0.5244,52.44,-2.1793924359714283,4.123105600125431,0.013840917340669045,5.434770822525024
7,0.5623,0.439,43.9,-2.802698724410113,4.123105591443798,0.014048390010937925,6.235880613327026
8,0.5405,0.3516,35.160000000000004,-3.5683742971981274,4.123105561086848,0.014393350791388699,7.021995782852173
9,0.5098,0.2614,26.14,-4.825280582203584,4.123105691474533,0.01462279161952799,7.812131881713867
10,0.4778,0.1724,17.24,-5.839079632478602,4.123105579510582,0.014747570086536503,8.60235857963562
