round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7114317417144775
1,0.6377,0.7503,75.03,-0.6510461437351563,0.6510477127397761,,1.5659753261963808e-06,-0.6510461437351563,20.615526755729956,0.031179429288836727,5.0,154.6043652909587,1.5657312870025635
2,0.5973,0.5832,58.32000000000001,-1.478788880740895,1.4788007911513834,,1.1913491508654688e-05,-1.478788880740895,20.615527618794488,0.03528777808254516,5.0,193.16049346359154,2.421208620071411
3,0.5424,0.3699,36.99,-2.9660700419369865,2.966105250751271,,3.5186058512943634e-05,-2.9660700419369865,20.61552790065561,0.03683762497097649,5.0,261.6139239714735,3.2822535037994385
4,0.458,0.1466,14.66,-5.184956452425788,5.18502804812263,,7.15734484615763e-05,-5.184956452425788,20.615528924727332,0.037898715032235214,5.0,360.43586898253375,4.132354974746704
5,0.3539,0.025,2.5,-8.452326704474057,8.45244782111224,,0.00012115716655149728,-8.452326704474057,20.615528302638108,0.038742627804605925,5.0,514.6471353454461,5.016602516174316
6,0.2481,0.0013,0.13,-13.80392209221335,13.804105534273035,,0.0001833550546400468,-13.80392209221335,20.615527697903644,0.040160051622654507,5.0,651.8978055322053,5.874023675918579
7,0.177,0.0001,0.01,-20.05818266027114,20.058443181654987,,0.0002605714407229029,-20.05818266027114,20.615528134951244,0.04005818027130765,5.0,725.6432741800372,6.731583595275879
8,0.1306,0.0,0.0,-26.804132910335767,26.804483077105353,,0.0003503957259989179,-26.804132910335767,20.61552837317224,0.0405122277320594,5.0,788.2494340819316,7.622029542922974
9,0.11,0.0,0.0,-34.929189794203815,34.92964464075425,,0.00045490252908647936,-34.929189794203815,20.615528420328246,0.04081229194459329,5.0,872.5954197980245,8.47413444519043
10,0.1012,0.0,0.0,-43.24245340683881,43.24302718218635,,0.0005740635268225827,-43.24245340683881,20.615527999679,0.04089636364746776,5.0,936.518258219167,9.327210426330566
