round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7330780029296875
1,0.6501,0.8303,83.03,0.3731894886282937,0.6726094326552223,-0.03688477155040292,8.246210532016057,0.01030261513078339,0.10999999999999899,2.7799999999999936,1.644026279449463
2,0.6463,0.7895,78.95,0.5196237875258222,0.6873241224709679,-0.17596172585206873,8.24621060314862,0.011439392060238454,0.49000000000000155,6.859999999999999,2.563591241836548
3,0.6386,0.7411,74.11,0.804603240069221,0.716956285869374,-0.4461250936283785,8.246210747565774,0.012481233515692297,1.2600000000000056,11.7,3.52951717376709
4,0.6291,0.6842,68.42,1.179934957448174,0.775560554336099,-0.7921546785270467,8.24621096321497,0.013226493847233789,2.210000000000001,17.389999999999993,4.452294826507568
5,0.6135,0.6137,61.370000000000005,1.4500922490568722,0.8138481343493742,-1.0431682011660408,8.24621140294938,0.013718969787409847,3.7699999999999956,24.439999999999994,5.371466636657715
6,0.5983,0.5434,54.339999999999996,1.9040448613026564,0.9061207666116602,-1.4509844832560594,8.246211178670691,0.01400358003967054,5.289999999999995,31.47,6.304147720336914
7,0.5821,0.4605,46.050000000000004,2.784362933214973,1.0298303225461174,-2.2694477614234474,8.246211136060147,0.014371989718821997,6.9100000000000055,39.76,7.2331414222717285
8,0.5665,0.3733,37.330000000000005,3.5564513206481934,1.1197464606341194,-2.996578104355756,8.246211315349738,0.014643621783167434,8.469999999999999,48.48,8.153748989105225
9,0.5465,0.2815,28.15,4.248244313632741,1.291609813185299,-3.602439417558558,8.246211345600589,0.014866738538824099,10.470000000000002,57.66,9.084793090820312
10,0.5241,0.1942,19.42,5.430523690055399,1.5229616726146025,-4.669042923871209,8.246211253750394,0.015130626902225552,12.709999999999999,66.38999999999999,9.996660470962524
