round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.709587574005127
1,0.6399,0.7475,74.75,-0.631608528249404,0.6316241919994354,,1.567740935951513e-05,-0.631608528249404,20.615526096251457,0.03118993093526793,5.0,133.7887982562979,1.5723321437835693
2,0.5976,0.5732,57.32000000000001,-1.4665874733644373,1.4667068579617668,,0.00011937949966522865,-1.4665874733644373,20.615527633426574,0.03495574646823499,5.0,218.05914223620027,2.436115264892578
3,0.543,0.3509,35.089999999999996,-3.231949869324179,3.2322980095358456,,0.00034816838075023363,-3.231949869324179,20.615528493178218,0.037462216528777736,5.0,322.21853234748124,3.292588472366333
4,0.4601,0.1232,12.32,-5.407515245325425,5.408235185286578,,0.0007199123844175654,-5.407515245325425,20.615528350252877,0.038885768249955814,5.0,401.1670654589057,4.162939786911011
5,0.3597,0.0158,1.58,-9.120309352874756,9.12153844272389,,0.0012290696168373175,-9.120309352874756,20.615528438932287,0.03948026133653099,5.0,536.8480248021965,5.031768321990967
6,0.255,0.0007,0.06999999999999999,-14.752233336953555,14.754104445962344,,0.001871084054822431,-14.752233336953555,20.615527867529362,0.04004329329585164,5.0,633.5465583250643,5.891411781311035
7,0.184,0.0001,0.01,-20.019007177913892,20.021655419293573,,0.002648615524830187,-20.019007177913892,20.61552770305007,0.039817467139377,5.0,718.7463267080186,6.759371042251587
8,0.1373,0.0,0.0,-27.75057826322668,27.7541264926686,,0.0035481595105546363,-27.75057826322668,20.61552802815508,0.04055381084498678,5.0,803.3329898237865,7.6168742179870605
9,0.1123,0.0,0.0,-34.60649770848892,34.6110964382396,,0.004598813432761852,-34.60649770848892,20.61552773297577,0.040731102008113466,5.0,856.7431376215188,8.484814167022705
10,0.1021,0.0,0.0,-43.295189801384424,43.30098185819738,,0.005791688885758905,-43.295189801384424,20.61552782407999,0.040834343451023,5.0,921.0008208686857,9.35690712928772
