round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,sparsity_or_discard_ratio,retained_ratio_if_available,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,7.858210325241089
1,0.6469,0.831,83.1,243.54991406202316,9.900946992068338,0.021531756664233598,3.863078452126523e-06,0.9999961369215479,10.380099296569824
2,0.5902,0.7519,75.19,337.1782636642456,14.488179101363126,0.041561189827652285,3.863078452126523e-06,0.9999961369215479,12.91334080696106
3,0.4547,0.5845,58.45,701.0474047660828,23.44603651965623,0.060951903758006215,3.863078452126523e-06,0.9999961369215479,15.562159776687622
