round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.9394032955169678
1,0.6518,0.8448,84.48,0.4577223001157536,0.695569353945115,-0.10993762664935168,4.123105206172243,0.00509939766588013,-0.060000000000004494,1.3299999999999979,1.8985192775726318
2,0.6497,0.8286,82.86,0.43406909002977256,0.6724776906125686,-0.09783024472348831,4.123105302095472,0.005353137275326698,0.14999999999999458,2.949999999999997,2.8330605030059814
3,0.647,0.8085,80.85,0.489671008551822,0.6948176902883193,-0.14226216428420124,4.123105281683382,0.005676912098905988,0.41999999999999815,4.959999999999997,3.793544054031372
4,0.6447,0.7869,78.69,0.6760061733862933,0.7382835430257461,-0.3068644018734203,4.123105309395998,0.006151949499425092,0.649999999999995,7.119999999999993,4.724301099777222
5,0.6427,0.7635,76.35,0.7537158867892098,0.7402898914673749,-0.38357094105552225,4.123105283853969,0.006231704867771256,0.8499999999999952,9.46,5.652043581008911
6,0.6386,0.7364,73.64,0.8306624714066001,0.768074046162998,-0.4466254483251011,4.123105407631592,0.006223591609774173,1.2600000000000056,12.169999999999991,6.5848753452301025
7,0.6336,0.7084,70.84,1.0014303993324147,0.8079144569004283,-0.5974731743335724,4.123105438976515,0.00633900850868865,1.759999999999995,14.969999999999995,7.51267671585083
8,0.6273,0.6806,68.06,1.2574031913981718,0.7746955261510962,-0.8700554335818571,4.1231055689503835,0.006678715071848168,2.3900000000000032,17.75,8.444093942642212
9,0.6211,0.6485,64.85,1.588007372968337,0.8567151322084314,-1.1596497998518103,4.123105567330515,0.006814836923382854,3.0100000000000016,20.96,9.38589334487915
10,0.6129,0.6109,61.09,1.7133104170069975,0.8922881238600787,-1.2671663638423472,4.123105631061962,0.006802654700982272,3.83,24.72,10.318033456802368
