round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7081551551818848
1,0.6522,0.8553,85.53,0.39669515718432036,0.7291926320861367,6.895231162800508,8.246211201862627,0.00931200592333166,-0.10000000000000009,0.28000000000000247,1.5806548595428467
2,0.6515,0.8544,85.44,0.3522130084936233,0.662461024873397,6.2723972657147575,8.246211260637313,0.007985749098092253,-0.029999999999996696,0.36999999999999256,2.4552392959594727
3,0.6535,0.8477,84.77,0.41512530253214,0.705232164439033,6.637196288389318,8.246211285398019,0.008243726932384126,-0.22999999999999687,1.0399999999999965,3.3330647945404053
4,0.6549,0.8403,84.03,0.40442441579173594,0.6456400156021118,6.051975727081299,8.24621128013575,0.007924413605856946,-0.37000000000000366,1.7799999999999927,4.21332573890686
5,0.6542,0.8348,83.48,0.5393480176434797,0.6691087554482853,6.151739541222067,8.246211188460743,0.008018203940523279,-0.30000000000000027,2.3299999999999987,5.091398239135742
6,0.6547,0.8268,82.67999999999999,0.43360545004115386,0.6659899599411908,6.226294180926154,8.246211211966756,0.00807376655901755,-0.34999999999999476,3.1299999999999994,5.9638121128082275
7,0.6558,0.8227,82.27,0.48289828492082,0.7145421364728142,6.6625231574563415,8.24621126137303,0.007729430579293803,-0.46000000000000485,3.5399999999999987,6.835157155990601
8,0.6551,0.8156,81.56,0.49911880427423644,0.6436735181247487,5.937616432414336,8.246211252074616,0.007633067768242946,-0.39000000000000146,4.249999999999998,7.723871469497681
9,0.6546,0.8106,81.06,0.5406133672770332,0.6951287388801575,6.410673954907586,8.24621127617368,0.007300382816882408,-0.33999999999999586,4.749999999999998,8.606357097625732
10,0.656,0.8018,80.17999999999999,0.5902364429305581,0.6483578085899353,5.893341597388773,8.246211222244854,0.007913396804005601,-0.48000000000000265,5.630000000000002,9.479792833328247
