round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,7.519736289978027
1,0.6497,0.8356,83.56,0.4819086343050003,0.6858571627560783,2.9473772048950195,20.615528639397635,0.02195070083178833,0.14999999999999458,2.2499999999999964,8.46675968170166
2,0.6508,0.8001,80.01,0.5345929317614612,0.6627977455363554,2.779395818710327,20.61552841989237,0.020996094666452234,0.039999999999995595,5.799999999999994,9.358224391937256
3,0.6508,0.7567,75.67,0.7308143903227413,0.690088268588571,2.719626959632425,20.615528369900403,0.02315010171504568,0.039999999999995595,10.139999999999993,10.246250629425049
4,0.6463,0.6985,69.85,1.1634849064490373,0.7253919243812561,2.463474715457243,20.61552778444413,0.024291484334850226,0.49000000000000155,15.959999999999997,11.136875867843628
5,0.6411,0.6201,62.01,1.7506629929823034,0.7340711811009575,1.9196929300532621,20.61552852087529,0.027544490260832104,1.0099999999999998,23.799999999999997,12.025799036026001
6,0.6363,0.5331,53.31,2.1798721271402695,0.8176188819548663,1.9082222195232617,20.615528142780597,0.026619554642064943,1.4900000000000024,32.49999999999999,12.921525001525879
7,0.6281,0.4288,42.88,2.8715112104135403,0.8738178715986364,1.497578130048864,20.615528169226664,0.0272799072614671,2.310000000000001,42.92999999999999,13.81117558479309
8,0.6143,0.2973,29.73,4.015349654590382,0.8597751645480886,0.2835261681500603,20.61552901238186,0.0320081698243067,3.6900000000000044,56.08,14.708284139633179
9,0.6059,0.1755,17.549999999999997,5.773632470299216,1.0553957539446213,-0.49665364097146425,20.615528317334785,0.031080064424559913,4.530000000000001,68.26,15.59748387336731
10,0.601,0.0857,8.57,7.023019678452435,1.1860905920757967,-1.092566686518052,20.61552829476683,0.031634308296066505,5.020000000000002,77.24,16.486436367034912
