round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7361581325531006
1,0.6382,0.7552,75.52,-0.5351344461498015,0.5351346021463328,,1.579199090711156e-07,-0.5351344461498015,20.027740248429176,0.030671657712428066,5.0,87.44608916563719,1.5840678215026855
2,0.6014,0.5939,59.39,-1.282761961221695,1.2827631191295736,,1.1577231927115945e-06,-1.282761961221695,20.61552843793051,0.0342876825100985,5.0,165.4330427742321,2.435084819793701
3,0.5457,0.3809,38.09,-2.849434165393605,2.8494375663645126,,3.400206263476695e-06,-2.849434165393605,20.615527833510164,0.03723637115490337,5.0,252.50285275030916,3.2844996452331543
4,0.4681,0.1496,14.96,-5.214948303559247,5.214955343919642,,7.042549280894866e-06,-5.214948303559247,20.61552776073126,0.038579580139262167,5.0,390.1623746914455,4.139532804489136
5,0.3649,0.0247,2.4699999999999998,-8.919671170851764,8.919683203977698,,1.207007142725428e-05,-8.919671170851764,20.61552830935987,0.03956059764042824,5.0,509.93966280400247,4.9925737380981445
6,0.257,0.0013,0.13,-13.542330517488367,13.542348973891315,,1.8431587062984952e-05,-13.542330517488367,20.61552830980549,0.0396143125118741,5.0,602.7989566603329,5.857678174972534
7,0.1824,0.0001,0.01,-19.24411111719468,19.24413725909065,,2.6009129963794668e-05,-19.24411111719468,20.615528044818124,0.04005102937749336,5.0,704.6170277268008,6.719496250152588
8,0.1335,0.0,0.0,-26.188146254595587,26.18818126005285,,3.496499277175377e-05,-26.188146254595587,20.61552777862752,0.04053805080364184,5.0,777.8362849597901,7.569896221160889
9,0.1108,0.0,0.0,-33.24874698414522,33.24879242392147,,4.5363788076964044e-05,-33.24874698414522,20.615528187522372,0.04048412511031983,5.0,838.7903170985786,8.424374341964722
10,0.1017,0.0,0.0,-42.37675431195427,42.37681153241326,,5.708150210386306e-05,-42.37675431195427,20.615528200814584,0.0408616751578053,5.0,912.0438908906328,9.284954309463501
