round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,sparsity_or_discard_ratio,retained_ratio_if_available,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,8.065715551376343
1,0.6469,0.831,83.1,243.54991406202316,9.900946992068338,0.021531756664233598,3.863078452126523e-06,0.9999961369215479,10.594349145889282
2,0.5902,0.7519,75.19,337.1782636642456,14.488179101363126,0.041561189827652285,3.863078452126523e-06,0.9999961369215479,13.146065950393677
3,0.4547,0.5845,58.45,701.0474047660828,23.44603651965623,0.060951903758006215,3.863078452126523e-06,0.9999961369215479,15.678965091705322
4,0.2919,0.262,26.200000000000003,1818.9749946594238,43.586261745740096,0.08152319842385937,3.980141435544482e-06,0.9999960198585645,18.221773862838745
