round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,10.0,,0.7348570823669434
1,0.4528,0.1325,13.25,-2.3561345794621635,2.3561345794621635,,,-2.3561345794621635,41.231055182614625,0.13816699134823612,10.0,293.3881508378209,1.592785120010376
2,0.1346,0.0,0.0,-16.41504882363712,16.41504882363712,,,-16.41504882363712,41.23105685915931,0.1575553928904274,10.0,655.1387167495994,2.4085566997528076
3,0.1,0.0,0.0,-47.784198200001434,47.784198200001434,,,-47.784198200001434,41.231055384333864,0.16348274683103067,10.0,972.6843681519297,3.242029905319214
4,0.1,0.0,0.0,-89.86605161779067,89.86605161779067,,,-89.86605161779067,41.23105629643243,0.1654552857187027,10.0,1270.4803539268328,4.07341456413269
5,0.1,0.0,0.0,-148.7693099975586,148.7693099975586,,,-148.7693099975586,41.231056964786575,0.16601745511109361,10.0,1720.971880794701,4.88447904586792
6,0.1,0.0,0.0,-219.95937841078813,219.95937841078813,,,-219.95937841078813,41.23105572538736,0.1661837751007913,10.0,2150.6677743399373,5.690765619277954
7,0.1,0.0,0.0,-316.3604341394761,316.3604341394761,,,-316.3604341394761,41.231055379758516,0.16659172321477955,10.0,2762.1292607587015,6.504056453704834
8,0.1,0.0,0.0,-444.3138463637408,444.3138463637408,,,-444.3138463637408,41.23105648647545,0.16738194730989783,10.0,3526.2334486368254,7.318353652954102
9,0.1,0.0,0.0,-593.2500610351562,593.2500610351562,,,-593.2500610351562,41.23105635810267,0.1674137592913353,10.0,4336.541458119109,8.1370210647583
10,0.1,0.0,0.0,-800.9813842773438,800.9813842773438,,,-800.9813842773438,41.23105682821754,0.16779850735279256,10.0,5497.494472001646,8.949599742889404
