round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,7.46790623664856
1,0.6504,0.8436,84.36,0.46292101197382984,0.6851362480836756,4.333032706204583,20.615528411219138,0.021484987312567396,0.08000000000000229,1.4499999999999957,8.411030054092407
2,0.6528,0.8235,82.35,0.46424611351069284,0.6586612007197212,4.146382275749655,20.615527418787433,0.019244866464467842,-0.16000000000000458,3.4599999999999964,9.305737018585205
3,0.6531,0.7994,79.94,0.5575572778196896,0.6796252832693213,4.199819733114803,20.615528086592274,0.021022810332072345,-0.19000000000000128,5.869999999999997,10.195919752120972
4,0.6519,0.7688,76.88000000000001,0.8176368474960327,0.7029952722437242,4.10333002314848,20.61552814173548,0.021517029696344826,-0.07000000000000339,8.929999999999993,11.074069261550903
5,0.648,0.7197,71.97,1.0958309769630432,0.6998608883689431,3.803195315248826,20.615528304650994,0.022911123326644814,0.31999999999999806,13.839999999999996,11.965942859649658
6,0.6472,0.6827,68.27,1.2567737943985884,0.7397392777835622,3.921401164110969,20.61552794514026,0.02163769520223835,0.40000000000000036,17.54,12.852307796478271
7,0.6479,0.6404,64.03999999999999,1.4839650333365972,0.7622560998972725,3.8518277056076946,20.615528280649055,0.020757800876593107,0.32999999999999696,21.77,13.73792028427124
8,0.6437,0.5729,57.29,1.956257700920105,0.7257533599348629,3.1240158081054688,20.615527349364946,0.025199832928711096,0.7499999999999951,28.52,14.6202712059021
9,0.6438,0.5095,50.949999999999996,2.6925299167633057,0.8201852265526267,3.048766711178948,20.615527784248258,0.023655322395166888,0.7399999999999962,34.86,15.499693632125854
10,0.6415,0.4616,46.160000000000004,2.8924969645107494,0.8174746737760656,2.8298257799709545,20.615527820037897,0.023150081285686106,0.9700000000000042,39.65,16.39290714263916
