round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7082154750823975
1,0.6523,0.8546,85.46000000000001,0.4173108391902026,0.6796406805515289,6.379096031188965,20.615528943625506,0.015141157929627707,-0.10999999999999899,0.34999999999999476,1.582033634185791
2,0.6536,0.8489,84.89,0.34131360601168126,0.6805313790545744,6.464000197017894,20.61552841130154,0.01472606941571803,-0.23999999999999577,0.9199999999999986,2.461468458175659
3,0.6542,0.8326,83.26,0.39829731601126056,0.7196376534069285,6.798079097972197,20.61552859400851,0.014812597260322939,-0.30000000000000027,2.5499999999999967,3.335005283355713
4,0.6529,0.8215,82.15,0.4946845840005314,0.6450993629062877,5.956309094148524,20.61552819705706,0.014633536550737888,-0.17000000000000348,3.6599999999999966,4.223942041397095
5,0.6552,0.809,80.9,0.5604473492678474,0.6983174366109511,6.42272705190322,20.615528166525078,0.014503892882891606,-0.40000000000000036,4.909999999999992,5.106693267822266
6,0.6542,0.8007,80.07,0.5471435253275558,0.6806920065599329,6.259776592254639,20.615528133367697,0.01433842420484246,-0.30000000000000027,5.74,5.982884407043457
7,0.6557,0.7823,78.23,0.738169417661779,0.6505539014058954,5.767369663014131,20.61552838364431,0.014986018713670415,-0.44999999999999485,7.579999999999998,6.854912519454956
8,0.6542,0.7708,77.08,0.8983094306553111,0.6840698228162878,5.9423887729644775,20.61552796114797,0.014708555999692376,-0.30000000000000027,8.729999999999993,7.73401141166687
9,0.6542,0.7542,75.42,0.7981465336154488,0.7017935409265406,6.2197889440199905,20.61552822043972,0.015071786499403939,-0.30000000000000027,10.389999999999999,8.640894174575806
10,0.6552,0.7405,74.05000000000001,1.0685863670180826,0.6668491661548615,5.59990528050591,20.615527607612805,0.014741581704499095,-0.40000000000000036,11.759999999999993,9.52798056602478
