round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,1.0,,0.7292766571044922
1,0.6487,0.8233,82.33,-0.42100497674854365,0.42100497674854365,,,-0.42100497674854365,4.123105118818949,0.011711883861972637,1.0,73.70244689236753,1.539334774017334
2,0.6422,0.775,77.5,-0.594437828835319,0.594437828835319,,,-0.594437828835319,4.123105314814909,0.012983415626484565,1.0,125.72200441923712,2.3414533138275146
3,0.6307,0.7187,71.87,-0.8334147579529706,0.8334147579529706,,,-0.8334147579529706,4.1231053051728335,0.013348555148929636,1.0,131.19142999248749,3.1703102588653564
4,0.6167,0.6535,65.35,-1.453094450866475,1.453094450866475,,,-1.453094450866475,4.123105508699031,0.014120342957949407,1.0,222.90926009617198,3.9711992740631104
5,0.5968,0.5741,57.410000000000004,-1.7197269551894243,1.7197269551894243,,,-1.7197269551894243,4.12310566164002,0.014294811917176109,1.0,224.07941855831345,4.784982204437256
6,0.5755,0.4945,49.45,-2.160973458605654,2.160973458605654,,,-2.160973458605654,4.123105559800888,0.01472721922265971,1.0,208.00980902131656,5.600124359130859
7,0.5545,0.3974,39.739999999999995,-3.1821819754207836,3.1821819754207836,,,-3.1821819754207836,4.123105625792663,0.014921936913952516,1.0,283.98958033561763,6.419234275817871
8,0.528,0.3034,30.34,-3.8083148423363182,3.8083148423363182,,,-3.8083148423363182,4.12310567591187,0.014849047465446056,1.0,295.2449366758728,7.227614641189575
9,0.4966,0.2161,21.61,-4.78496921413085,4.78496921413085,,,-4.78496921413085,4.1231056509820885,0.015215029420569905,1.0,347.8080333058572,8.033491134643555
10,0.4598,0.1289,12.889999999999999,-6.67756913690006,6.67756913690006,,,-6.67756913690006,4.1231056170348594,0.015682552658977184,1.0,452.2240602230666,8.835231065750122
