round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.7107870578765869
1,0.6505,0.8383,83.83,-0.39869310049449697,4.123105383761571,0.007015272957289738,1.4927403926849365
2,0.6471,0.8139,81.39,-0.4553910401814124,4.123105182012981,0.007224543470557415,2.281500816345215
3,0.6427,0.7859,78.59,-0.6666063087828019,4.12310534213858,0.007701952689100102,3.069713830947876
4,0.6394,0.7553,75.53,-0.7311873093302197,4.123105283716796,0.008060643501481201,3.8566160202026367
5,0.6317,0.719,71.89999999999999,-0.9045264159931856,4.123105437936673,0.008067702669485935,4.643161773681641
6,0.623,0.6827,68.27,-1.2617458070025724,4.12310557489014,0.008395067949963904,5.4266698360443115
7,0.6134,0.6401,64.01,-1.6221938834470861,4.12310569608723,0.0083732270667981,6.213796138763428
8,0.6013,0.5936,59.36,-1.6495958671850317,4.123105573234733,0.008372053650356924,7.0103349685668945
9,0.5918,0.5487,54.87,-1.9023867231958054,4.123105694690046,0.008715546113012037,7.806398153305054
10,0.5785,0.4985,49.85,-2.2579735061701607,4.123105663024975,0.00889547950411414,8.60197901725769
