round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7246949672698975
1,0.5992,0.5862,58.620000000000005,-1.0192327867535984,1.0192986165775972,,6.582063346794551e-05,-1.0192327867535984,20.61552735532888,0.0644229273242089,5.0,181.77697004836116,1.5896387100219727
2,0.4763,0.141,14.099999999999998,-3.9978554178686703,3.9983707666397095,,0.0005153350554310772,-3.9978554178686703,20.61552806981919,0.0750851235595071,5.0,345.67355249988776,2.4584431648254395
3,0.2807,0.0013,0.13,-11.290690590353574,11.292194899390726,,0.0015043202575350948,-11.290690590353574,20.615528174504828,0.07861210547600748,5.0,535.0852596851594,3.312483072280884
4,0.1463,0.0,0.0,-22.946666941923255,22.94968049666461,,0.0030133008052978445,-22.946666941923255,20.615528073246058,0.08083901764412138,5.0,761.75895718992,4.178005695343018
5,0.1042,0.0,0.0,-38.19624160317814,38.201323228723865,,0.005081300842849647,-38.19624160317814,20.615528361104424,0.08162588233176322,5.0,895.0507979940547,5.031063795089722
6,0.1,0.0,0.0,-54.87131612441119,54.87904043758617,,0.007724353249239571,-54.87131612441119,20.615527405306533,0.08187969045131714,5.0,1009.2012916533063,5.927701950073242
7,0.1,0.0,0.0,-75.45722467759076,75.46817039040958,,0.010946029468494304,-75.45722467759076,20.615527894311253,0.08219201498330625,5.0,1167.1893484711577,6.794400691986084
8,0.1,0.0,0.0,-100.80697901108685,100.82175355799058,,0.014774348093744586,-100.80697901108685,20.615528184404667,0.08242142212868042,5.0,1359.266868684351,7.6504433155059814
9,0.1,0.0,0.0,-129.33817695168887,129.35738462560317,,0.01920854190693182,-129.33817695168887,20.61552855151241,0.08268752501469812,5.0,1563.9738477082885,8.511452913284302
10,0.1,0.0,0.0,-160.5398182588465,160.56407973345588,,0.024262476274195838,-160.5398182588465,20.615528642355958,0.08301075439801653,5.0,1755.090735419204,9.37806510925293
