round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,7.615499258041382
1,0.65,0.841,84.1,0.46949225751792684,0.6854671169729794,3.6433104627272663,20.615527603423438,0.021313628005830015,0.11999999999999789,1.7100000000000004,8.574740171432495
2,0.6522,0.8161,81.61,0.48638685135280385,0.6597736004520866,3.472254753112793,20.6155281488121,0.019565961500896813,-0.10000000000000009,4.199999999999992,9.47684121131897
3,0.6514,0.7845,78.45,0.6140613818869871,0.6827731851269218,3.4825776745291317,20.615528370096204,0.021420837407920564,-0.019999999999997797,7.359999999999999,10.38077425956726
4,0.6493,0.7443,74.42999999999999,0.9294639370020699,0.7100209663896,3.3306618367924408,20.615528216228416,0.022053391768814705,0.19000000000000128,11.38,11.278919219970703
5,0.6459,0.6863,68.63,1.3084577812868006,0.7096874363282147,2.9496668226578655,20.615528169182674,0.024157214835882276,0.5299999999999971,17.179999999999996,12.193959951400757
6,0.6437,0.634,63.4,1.5366013435756458,0.763573499286876,3.044839613577899,20.61552775192593,0.0227266919929278,0.7499999999999951,22.409999999999997,13.101977586746216
7,0.6426,0.5739,57.38999999999999,1.899767193285858,0.7941513762754553,2.8651410621755264,20.615528169418933,0.022500109200501477,0.8600000000000052,28.42,14.008981943130493
8,0.6345,0.4767,47.67,2.5873815662720623,0.761382379952599,1.9809127414927763,20.61552816577388,0.027475367807191554,1.6700000000000048,38.13999999999999,14.905772686004639
9,0.6311,0.3934,39.34,3.623430742936976,0.8849518439349007,1.6862803066478056,20.615528208754696,0.025726176125115525,2.0100000000000007,46.46999999999999,15.808083534240723
10,0.6276,0.3108,31.080000000000002,4.120844883077285,0.9231795563417322,1.4182324970469755,20.61552767616841,0.025458210648282655,2.3599999999999954,54.72999999999999,16.717591047286987
